estado_cve_ent,estado_nombre,sustancia_cas,sustancia_grupo_iarc,sustancia_nombre,umbral_nom_eyt,umbral_nom_mpu,municipio_cve_mun,municipio_nombre,anios_reporte,anio,cantidad_kg,index_kg,umbral_nom_eyt_excede,umbral_nom_eyt_index,umbral_nom_eyt_residuo,umbral_nom_mpu_excede,umbral_nom_mpu_index,umbral_nom_mpu_residuo
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2004,3.0,0.9999999991677204,FALSE,-1.0,-497.0,FALSE,-1.0,-2497.0
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2005,0.02639,0.4422464445496714,FALSE,-1.0,-499.97361,FALSE,-1.0,-2499.97361
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2008,76.8,0.9999999995044004,FALSE,-1.0,-423.2,FALSE,-1.0,-2423.2
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2009,76.8096,0.9999999995057688,FALSE,-1.0,-423.1904,FALSE,-1.0,-2423.1904
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2010,78.9060137947926,0.9999999997297802,FALSE,-1.0,-421.0939862052074,FALSE,-1.0,-2421.093986205208
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2011,78.8994851638712,0.9999999997292716,FALSE,-1.0,-421.1005148361288,FALSE,-1.0,-2421.1005148361287
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2012,176.30971,0.9999222747961096,FALSE,-1.0,-323.69029,FALSE,-1.0,-2323.69029
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2013,83.32563095613881,0.9999999999243294,FALSE,-1.0,-416.6743690438612,FALSE,-1.0,-2416.674369043861
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2014,1483.0,0.9999999238844196,TRUE,0.9999758451385764,983.0,FALSE,-1.0,-1017.0
01,Aguascalientes,71-43-2,1,Benceno,500.0,2500.0,001,Aguascalientes,10,2022,24625.791425,0.9999764039045392,TRUE,0.9999702901632448,24125.791425,TRUE,0.9999253316942442,22125.791425
02,Baja California,71-43-2,1,Benceno,500.0,2500.0,001,Ensenada,17,2004,3635.0,0.9995390049919324,TRUE,0.9985419015658537,3135.0,TRUE,0.9999958068357412,1135.0
02,Baja California,71-43-2,1,Benceno,500.0,2500.0,001,Ensenada,17,2005,3708.01992,0.9996103748935444,TRUE,0.9987675449614432,3208.01992,TRUE,0.99999819191666,1208.0199200000002
02,Baja California,71-43-2,1,Benceno,500.0,2500.0,001,Ensenada,17,2007,0.02,0.3452140341355207,FALSE,-1.0,-499.98,FALSE,-1.0,-2499.98
02,Baja California,71-43-2,1,Benceno,500.0,2500.0,001,Ensenada,17,2008,3575.0,0.9994706800637184,TRUE,0.9999999999999992,3075.0,TRUE,0.9999916300027702,1075.0
